seed,config_key,method,correction,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,sim_seconds,teacher_seconds,forward_seconds,train_seconds,reverse_seconds,eval_seconds,total_seconds,var_H,mean_H_norm,var_H_norm,var_S,var_D,var_delta,mean_A2,mean_B2,mean_C2,var_residual,mean_residual_norm
0,approx_lowt_stationary,mirafzali,approx,-0.00014394521713256836,1.711978295757102,0.0,1120.21,3.3324448000639677,0.3995045833289623,3.73194938339293,815.0158581603318,297.3161185923964,2.1044864673167467,1120.209711972624,0.547122061252594,0.9606237411499023,0.17144688963890076,,,,,,,,
0,a_correction_lowt_stationary,mirafzali,a_correction,0.0007835924625396729,1.7348165851777606,0.0,1121.1,3.324555041268468,0.003473101183772087,3.32802814245224,816.1785094179213,297.58921798691154,2.0374305695295334,1121.0977683849633,1.1894166469573975,1.2155489921569824,0.9013696312904358,,,,,,,,
0,full_lowt_stationary,mirafzali,mirafzali_full,0.0032931268215179443,1.6051283412893855,0.0,1121.91,3.584057943895459,0.0034618712961673737,3.5875198151916265,817.0935603473336,297.4686806164682,2.053878754377365,1121.906861325726,5.814195156097412,2.923253297805786,3.0830793380737305,0.547122061252594,3.7786219120025635,5.814195156097412,0.09810992963984609,0.03847298694994607,0.3919843683820218,,
1,approx_lowt_stationary,mirafzali,approx,-0.0001914501190185547,1.7029844685880269,0.0,1122.2,3.105324788019061,0.09148566424846649,3.1968104522675276,817.0895264763385,297.7212165426463,2.112308420240879,1122.2039762213826,0.5444956421852112,0.9585700035095215,0.17015382647514343,,,,,,,,
1,a_correction_lowt_stationary,mirafzali,a_correction,0.0016064643859863281,1.7348086162183267,0.0,1122.61,3.301830507814884,0.0034474488347768784,3.305277956649661,817.9254270512611,297.6762546505779,1.9206918999552727,1122.6119655109942,1.2086917161941528,1.2219716310501099,0.9242087602615356,,,,,,,,
1,full_lowt_stationary,mirafzali,mirafzali_full,0.0021004676818847656,1.6112525949772396,0.0,1122.99,2.932941973209381,0.0030462462455034256,2.9359882194548845,818.8447212688625,297.6691520716995,1.8060624208301306,1122.99150865525,5.871339797973633,2.9373836517333984,3.1155076026916504,0.5444956421852112,3.8367621898651123,5.871339797973633,0.10034093609265983,0.03879197774082813,0.40088795094937085,,
2,approx_lowt_stationary,mirafzali,approx,-0.00013568997383117676,1.6982098452040355,0.0,1122.1,3.033147571608424,0.09229505248367786,3.125442624092102,818.1737718954682,296.7148407381028,2.0344094652682543,1122.0975421518087,0.542701244354248,0.9570552110671997,0.16959570348262787,,,,,,,,
2,a_correction_lowt_stationary,mirafzali,a_correction,0.00199010968208313,1.7403201673081594,0.0,1123.45,2.884488068521023,0.0029471106827259064,2.8874351792037487,819.8709756117314,297.046931065619,1.8460807483643293,1123.4481105748564,1.2264384031295776,1.2268025875091553,0.9478363394737244,,,,,,,,
2,full_lowt_stationary,mirafzali,mirafzali_full,0.0016524791717529297,1.6108816125239438,0.0,1122.06,2.9090785067528486,0.0029152724891901016,2.9119937792420387,819.2454773988575,297.5526035372168,1.7898565325886011,1122.0596900675446,5.845729827880859,2.9225454330444336,3.1505534648895264,0.542701244354248,3.820592164993286,5.845729827880859,0.10259269626392052,0.03974114361634683,0.40987631248869,,
3,approx_lowt_stationary,mirafzali,approx,0.0009274482727050781,1.7080579381165584,0.0,1123.37,3.0036765970289707,0.09186993911862373,3.0955465361475945,820.0139828212559,297.0624029263854,2.0115110017359257,1123.3689495958388,0.5422348976135254,0.9573196768760681,0.168013334274292,,,,,,,,
3,a_correction_lowt_stationary,mirafzali,a_correction,0.004367947578430176,1.7375986918928255,0.0,1120.03,2.870259715244174,0.0028379764407873154,2.8730976916849613,818.1941560078412,296.5026296004653,1.8761319182813168,1120.0254737827927,1.1754156351089478,1.2093300819396973,0.8883857727050781,,,,,,,,
3,full_lowt_stationary,mirafzali,mirafzali_full,0.002682805061340332,1.6142000114968016,0.0,1122.52,2.9683061614632607,0.0027472935616970062,2.9710534550249577,819.489575477317,297.65891485102475,1.836091436445713,1122.518326960504,5.753238201141357,2.914726734161377,3.0108489990234375,0.5422348976135254,3.7342069149017334,5.753238201141357,0.09682599029550329,0.03637890157764659,0.3868457753136754,,
4,approx_lowt_stationary,mirafzali,approx,0.0005450844764709473,1.7131730738201612,0.0,1123.14,2.9632947165519,0.08922908641397953,3.0525238029658794,820.2349887229502,296.93073792755604,2.0361230671405792,1123.1364142745733,0.5443333387374878,0.9594168663024902,0.16818663477897644,,,,,,,,
4,a_correction_lowt_stationary,mirafzali,a_correction,0.0016959309577941895,1.7339198834051854,0.0,1112.46,2.9007896799594164,0.0027320757508277893,2.903521755710244,812.8103467151523,294.3454803414643,1.8405203782022,1112.4599036294967,1.1583075523376465,1.2050738334655762,0.8644393086433411,,,,,,,,
4,full_lowt_stationary,mirafzali,mirafzali_full,0.0017341077327728271,1.6202320012905522,0.0,1107.98,2.8710113242268562,0.0028803758323192596,2.8738917000591755,808.0087887682021,294.50738352164626,2.029783971607685,1107.9840622991323,5.698566913604736,2.8993184566497803,2.9911253452301025,0.5443333387374878,3.6844236850738525,5.698566913604736,0.09402085617673583,0.0365421889057476,0.3756440105782822,,
