t,n_max,thresh,rmse,relative_error,mean_norm_db,mean_norm_var
0.01,5,0.0,1.2154903552039574e-14,6.661934564735967e-07,3.156342477860244e-16,6.381239765591326e-15
0.01,10,0.0,1.2601351480479111e-14,7.09013594713965e-07,9.11968585902444e-16,6.381239765591326e-15
0.01,20,0.0,1.4153294823731265e-14,8.673413050988265e-07,2.7548057370143917e-15,6.381239765591326e-15
0.01,40,0.0,1.5573780549489966e-14,9.736359940342807e-07,4.048753153469235e-15,6.381239765591326e-15
0.01,5,0.5,0.0,0.0,6.381239765591326e-15,6.381239765591326e-15
0.01,10,0.5,0.0,0.0,6.381239765591326e-15,6.381239765591326e-15
0.01,20,0.5,0.0,0.0,6.381239765591326e-15,6.381239765591326e-15
0.01,40,0.5,0.0,0.0,6.381239765591326e-15,6.381239765591326e-15
0.05,5,0.0,9.906951330082668,1.364051415324167,3.3485245092243643,5.763443161443267
0.05,10,0.0,1.9123432152585251,0.21323284118206715,5.820607402041841,5.763443161443267
0.05,20,0.0,0.055479337652765665,0.008493963337912082,5.714787336520998,5.763443161443267
0.05,40,0.0,0.05516259378812556,0.008479086528310628,5.714807650885754,5.763443161443267
0.05,5,0.5,0.0,0.0,5.763443161443267,5.763443161443267
0.05,10,0.5,0.0,0.0,5.763443161443267,5.763443161443267
0.05,20,0.5,0.0,0.0,5.763443161443267,5.763443161443267
0.05,40,0.5,0.0,0.0,5.763443161443267,5.763443161443267
0.1,5,0.0,29.564248881590245,0.4481995357899956,5.57589896538558,3.989756055978907
0.1,10,0.0,0.2360793202405489,0.02131841478633037,3.936651586765436,3.989756055978907
0.1,20,0.0,0.07768534114167615,0.017253998649988316,3.921581572293641,3.989756055978907
0.1,40,0.0,0.07768534689306435,0.017253998627579554,3.9215815702587618,3.989756055978907
0.1,5,0.5,0.0,0.0,3.989756055978907,3.989756055978907
0.1,10,0.5,0.0,0.0,3.989756055978907,3.989756055978907
0.1,20,0.5,0.0,0.0,3.989756055978907,3.989756055978907
0.1,40,0.5,0.0,0.0,3.989756055978907,3.989756055978907
0.5,5,0.0,0.20725147194232532,0.10216446538045884,1.6051652717290317,1.7776790011032078
0.5,10,0.0,0.20708384863927354,0.10206571077112192,1.6051915543615538,1.7776790011032078
0.5,20,0.0,0.20708384863933244,0.1020657107710947,1.605191554361553,1.7776790011032078
0.5,40,0.0,0.20708384863933232,0.10206571077109469,1.605191554361553,1.7776790011032078
0.5,5,0.5,0.0,0.0,1.7776790011032078,1.7776790011032078
0.5,10,0.5,0.0,0.0,1.7776790011032078,1.7776790011032078
0.5,20,0.5,0.0,0.0,1.7776790011032078,1.7776790011032078
0.5,40,0.5,0.0,0.0,1.7776790011032078,1.7776790011032078
1.0,5,0.0,0.4941317319187016,0.37378474555032043,0.9195401597169179,1.2491246435263252
1.0,10,0.0,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
1.0,20,0.0,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
1.0,40,0.0,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
1.0,5,0.5,0.4941317319187016,0.37378474555032043,0.9195401597169179,1.2491246435263252
1.0,10,0.5,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
1.0,20,0.5,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
1.0,40,0.5,0.49413175334066056,0.3737847906236351,0.9195401555806142,1.2491246435263252
